4.520848481e-020	  2.251205676e-020	  3.333270781e-007	  5.180679432e-008
4.357108049e-021	  1.648287125e-020	  3.200462643e-007	  5.034937735e-008
3.355981897e-020	  6.849863371e-020	  3.878248195e-007	  6.933035009e-008


8.177036904e-020	  8.899533357e-020	  2.605616249e-007	  1.051336181e-007
8.050934046e-020	  1.368710819e-019	  5.313324410e-007	  1.283854882e-007
2.458096627e-020	  3.238368341e-020	  2.751182019e-007	  3.541575997e-008
2.010323630e-021	  1.107211419e-020	  2.165944824e-007	  3.812952627e-008
3.856950795e-020	  5.721147891e-020	  2.444440798e-007	  7.317399874e-008
4.939033237e-020	  1.961234390e-019	  3.566880084e-007	  2.385764315e-007
7.966791227e-020	  8.866973992e-020	  3.271761003e-007	  6.051438066e-008
