Project H:\DLS_polymer_1.05_100nm\Poly_1.05_200_nm.aap,TabPage 60,,,Contin output,,,,
,Average,Deviation,,Gamma (s^-1),D (m^2 s^-1,R (nm),Area,
Angle (deg),60,0,,571.66,2.16272,99.04495,0.93968,
Temperature (K),293.0343,0,,134260,507.93701,0.42172,0.00082,
Viscosity (mPI),1.002,0,,1725400,6527.59217,0.03282,0.00797,
Refractive index,1.33,0,,,,,,
,,,,,,,,
Lower bound,2,,,,,,,
Upper bound,220,,,,,,,
,,,,,,,,
Correlations,,,,,,,,
index,t(s),POLY_176,Average,Fit,,,,
,,checked,,,,,,
255,0.300312064,10.61466,,,,,,
256,0.301485158,11.32731,,,,,,
257,0.302658252,11.13977,,,,,,
258,0.303831346,11.06475,,,,,,
259,0.30500444,11.02725,,,,,,
260,0.306177534,11.36481,,,,,,
261,0.307350628,10.87722,,,,,,
262,0.308523722,11.47734,,,,,,
263,0.309696816,11.10226,,,,,,
264,0.31086991,11.58986,,,,,,
265,0.312043004,10.76469,,,,,,
266,0.313216098,10.91472,,,,,,
267,0.314389192,11.13977,,,,,,
268,0.315562286,11.25229,,,,,,
269,0.31673538,11.06475,,,,,,
270,0.317908474,11.62737,,,,,,
271,0.319081568,10.76469,,,,,,
272,0.320254662,11.32731,,,,,,
273,0.321427756,10.68968,,,,,,
274,0.32260085,10.53965,,,,,,
275,0.323773944,10.42712,,,,,,
276,0.324947038,11.21478,,,,,,
277,0.326120132,10.65217,,,,,,
278,0.327293226,10.57715,,,,,,
279,0.32846632,10.57715,,,,,,
280,0.329639414,10.57715,,,,,,
281,0.330812508,11.10226,,,,,,
282,0.331985602,10.46463,,,,,,
283,0.333158696,11.13977,,,,,,
284,0.33433179,10.83971,,,,,,
285,0.335504884,11.13977,,,,,,
286,0.336677978,11.10226,,,,,,
287,0.337851072,11.17728,,,,,,
288,0.339024166,11.10226,,,,,,
289,0.34019726,10.50214,,,,,,
290,0.341370354,10.8022,,,,,,
291,0.342543448,11.40232,,,,,,
292,0.343716542,10.68968,,,,,,
293,0.344889636,10.83971,,,,,,
294,0.34606273,10.12706,,,,,,
295,0.347235824,10.01454,,,,,,
296,0.348408918,11.51484,,,,,,
297,0.349582012,11.2898,,,,,,
298,0.350755106,10.87722,,,,,,
299,0.3519282,11.81491,,,,,,
300,0.353101294,10.8022,,,,,,
301,0.354274388,11.2898,,,,,,
302,0.355447482,11.21478,,,,,,
303,0.356620576,11.70238,,,,,,
304,0.35779367,12.00244,,,,,,
305,0.358966764,11.62737,,,,,,
306,0.360139858,11.7774,,,,,,
307,0.361312952,10.76469,,,,,,
308,0.362486046,10.72718,,,,,,
309,0.36365914,11.36481,,,,,,
310,0.364832234,11.10226,,,,,,
311,0.366005328,10.8022,,,,,,
312,0.367178422,10.95223,,,,,,
313,0.368351516,11.02725,,,,,,
314,0.36952461,10.95223,,,,,,
315,0.370697704,10.95223,,,,,,
316,0.371870798,9.414417,,,,,,
317,0.373043892,11.43983,,,,,,
318,0.374216986,11.17728,,,,,,
319,0.37539008,11.06475,,,,,,
320,0.376563174,10.91472,,,,,,
321,0.377736268,10.23958,,,,,,
322,0.378909362,10.76469,,,,,,
323,0.380082456,10.8022,,,,,,
324,0.38125555,10.98974,,,,,,
325,0.382428644,10.87722,,,,,,
326,0.383601738,11.47734,,,,,,
327,0.384774832,10.76469,,,,,,
328,0.385947926,10.8022,,,,,,
329,0.38712102,10.8022,,,,,,
330,0.388294114,11.36481,,,,,,
331,0.389467208,10.61466,,,,,,
332,0.390640302,10.46463,,,,,,
333,0.391813396,10.68968,,,,,,
334,0.39298649,10.8022,,,,,,
335,0.394159584,9.939524,,,,,,
336,0.395332678,10.65217,,,,,,
337,0.396505772,10.61466,,,,,,
338,0.397678866,10.23958,,,,,,
339,0.39885196,11.13977,,,,,,
340,0.400025054,10.65217,,,,,,
341,0.401198148,11.36481,,,,,,
342,0.402371242,12.22749,,,,,,
343,0.403544336,11.43983,,,,,,
344,0.40471743,10.76469,,,,,,
345,0.405890524,11.02725,,,,,,
346,0.407063618,10.57715,,,,,,
347,0.408236712,11.13977,,,,,,
348,0.409409806,10.61466,,,,,,
349,0.4105829,10.65217,,,,,,
350,0.411755994,11.40232,,,,,,
351,0.412929088,10.83971,,,,,,
352,0.414102182,11.10226,,,,,,
353,0.415275276,11.13977,,,,,,
354,0.41644837,10.53965,,,,,,
355,0.417621464,10.76469,,,,,,
356,0.418794558,10.23958,,,,,,
357,0.419967652,10.91472,,,,,,
358,0.421140746,10.38962,,,,,,
359,0.42231384,11.32731,,,,,,
360,0.423486934,11.06475,,,,,,
361,0.424660028,11.40232,,,,,,
362,0.425833122,10.87722,,,,,,
363,0.427006216,11.10226,,,,,,
364,0.42817931,10.95223,,,,,,
365,0.429352404,11.88992,,,,,,
366,0.430525498,10.46463,,,,,,
367,0.431698592,10.3146,,,,,,
368,0.432871686,10.27709,,,,,,
369,0.43404478,10.91472,,,,,,
370,0.435217874,10.87722,,,,,,
371,0.436390968,10.8022,,,,,,
372,0.437564062,12.11497,,,,,,
373,0.438737156,10.72718,,,,,,
374,0.43991025,11.58986,,,,,,
375,0.441083344,10.98974,,,,,,
376,0.442256438,10.76469,,,,,,
377,0.443429532,11.73989,,,,,,
378,0.444602626,11.13977,,,,,,
379,0.44577572,11.06475,,,,,,
380,0.446948814,10.83971,,,,,,
381,0.448121908,10.83971,,,,,,
382,0.449295002,11.43983,,,,,,
383,0.450468096,11.2898,,,,,,
384,0.45164119,11.06475,,,,,,
385,0.452814284,10.83971,,,,,,
386,0.453987378,10.68968,,,,,,
387,0.455160472,11.62737,,,,,,
388,0.456333566,10.91472,,,,,,
389,0.45750666,10.72718,,,,,,
390,0.458679754,11.21478,,,,,,
391,0.459852848,10.83971,,,,,,
392,0.461025942,11.32731,,,,,,
393,0.462199036,11.13977,,,,,,
394,0.46337213,10.91472,,,,,,
395,0.464545224,10.95223,,,,,,
396,0.465718318,10.91472,,,,,,
397,0.466891412,11.25229,,,,,,
398,0.468064506,10.20208,,,,,,
399,0.4692376,10.91472,,,,,,
400,0.470410694,11.13977,,,,,,
401,0.471583788,10.95223,,,,,,
402,0.472756882,10.57715,,,,,,
403,0.473929976,11.2898,,,,,,
404,0.47510307,11.55235,,,,,,
405,0.476276164,11.17728,,,,,,
406,0.477449258,10.91472,,,,,,
407,0.478622352,11.2898,,,,,,
408,0.479795446,11.06475,,,,,,
409,0.48096854,11.17728,,,,,,
410,0.482141634,11.13977,,,,,,
411,0.483314728,11.70238,,,,,,
412,0.484487822,11.32731,,,,,,
413,0.485660916,10.91472,,,,,,
414,0.48683401,10.50214,,,,,,
415,0.488007104,11.25229,,,,,,
416,0.489180198,10.65217,,,,,,
417,0.490353292,10.98974,,,,,,
418,0.491526386,11.2898,,,,,,
419,0.49269948,10.95223,,,,,,
420,0.493872574,10.57715,,,,,,
421,0.495045668,11.25229,,,,,,
422,0.496218762,11.62737,,,,,,
423,0.497391856,11.13977,,,,,,
424,0.49856495,10.61466,,,,,,
425,0.499738044,10.23958,,,,,,
426,0.500911138,11.62737,,,,,,
427,0.502084232,10.8022,,,,,,
428,0.503257326,11.17728,,,,,,
429,0.50443042,10.72718,,,,,,
430,0.505603514,10.87722,,,,,,
431,0.506776608,10.65217,,,,,,
432,0.507949702,10.42712,,,,,,
433,0.509122796,11.66488,,,,,,
434,0.51029589,11.17728,,,,,,
435,0.511468984,10.95223,,,,,,
436,0.512642078,10.65217,,,,,,
437,0.513815172,11.17728,,,,,,
438,0.514988266,10.8022,,,,,,
439,0.51616136,10.91472,,,,,,
440,0.517334454,10.57715,,,,,,
441,0.518507548,10.87722,,,,,,
442,0.519680642,11.06475,,,,,,
443,0.520853736,11.36481,,,,,,
444,0.52202683,11.47734,,,,,,
445,0.523199924,11.21478,,,,,,
446,0.524373018,10.87722,,,,,,
447,0.525546112,11.58986,,,,,,
448,0.526719206,11.66488,,,,,,
449,0.5278923,10.50214,,,,,,
450,0.529065394,10.65217,,,,,,
451,0.530238488,10.83971,,,,,,
452,0.531411582,10.98974,,,,,,
453,0.532584676,11.73989,,,,,,
454,0.53375777,11.58986,,,,,,
455,0.534930864,10.16457,,,,,,
456,0.536103958,10.61466,,,,,,
457,0.537277052,10.57715,,,,,,
458,0.538450146,10.98974,,,,,,
459,0.53962324,11.70238,,,,,,
460,0.540796334,11.32731,,,,,,
461,0.541969428,10.95223,,,,,,
462,0.543142522,10.95223,,,,,,
463,0.544315616,11.17728,,,,,,
464,0.54548871,10.76469,,,,,,
465,0.546661804,12.22749,,,,,,
466,0.547834898,11.36481,,,,,,
467,0.549007992,11.13977,,,,,,
468,0.550181086,10.91472,,,,,,
469,0.55135418,10.83971,,,,,,
470,0.552527274,11.02725,,,,,,
471,0.553700368,10.76469,,,,,,
472,0.554873462,10.76469,,,,,,
473,0.556046556,11.55235,,,,,,
474,0.55721965,10.95223,,,,,,
475,0.558392744,9.639462,,,,,,
476,0.559565838,11.17728,,,,,,
477,0.560738932,11.81491,,,,,,
478,0.561912026,10.95223,,,,,,
479,0.56308512,10.83971,,,,,,
480,0.564258214,10.20208,,,,,,
481,0.565431308,11.2898,,,,,,
482,0.566604402,10.91472,,,,,,
483,0.567777496,10.95223,,,,,,
484,0.56895059,10.98974,,,,,,
485,0.570123684,11.73989,,,,,,
486,0.571296778,11.55235,,,,,,
487,0.572469872,10.83971,,,,,,
488,0.573642966,11.17728,,,,,,
489,0.57481606,11.32731,,,,,,
490,0.575989154,10.53965,,,,,,
491,0.577162248,10.76469,,,,,,
492,0.578335342,11.13977,,,,,,
493,0.579508436,10.95223,,,,,,
494,0.58068153,11.2898,,,,,,
495,0.581854624,11.25229,,,,,,
496,0.583027718,11.17728,,,,,,
497,0.584200812,11.21478,,,,,,
498,0.585373906,12.15247,,,,,,
499,0.586547,11.73989,,,,,,
500,0.587720094,10.8022,,,,,,
501,0.588893188,10.57715,,,,,,
502,0.590066282,10.98974,,,,,,
503,0.591239376,11.2898,,,,,,
504,0.59241247,10.76469,,,,,,
505,0.593585564,11.10226,,,,,,
506,0.594758658,11.40232,,,,,,
507,0.595931752,10.95223,,,,,,
508,0.597104846,11.02725,,,,,,
509,0.59827794,10.87722,,,,,,
510,0.599451034,11.13977,,,,,,
,,,,,,,,
Transform,,,,,,,,
index,Gamma (s^-1),D (um^2/s),R (nm),Gamma * Weight (s^-1),,,,
0,0.00397,1.50194395091974E-05,14261974.0465497,0,,,,
1,0.00491,1.85756795944985E-05,11531575.7565789,0,,,,
2,0.006075,2.2983147359792E-05,9320170.69379461,0,,,,
3,0.007515,2.84310045117427E-05,7534269.72252858,0,,,,
4,0.009305,3.52029936103481E-05,6084904.56365419,0,,,,
5,0.0115,4.35071925329396E-05,4923481.4752002,0,,,,
6,0.0142,5.37219246928471E-05,3987326.54681706,0,,,,
7,0.0176,6.6584920746064E-05,3217047.55481831,0,,,,
8,0.0218,8.24745041059203E-05,2597249.40205515,0,,,,
9,0.02695,0.000101958159892411,2100929.01539155,0,,,,
10,0.03335,0.000126170858345525,1697752.23282765,0,,,,
11,0.04125,0.000156058407998588,1372606.95672248,0,,,,
12,0.051,0.000192944940798254,1110196.80323142,0,,,,
13,0.0631,0.000238722073811173,897306.449521431,0,,,,
14,0.07805,0.000295281424103994,725432.888722643,0,,,,
15,0.09665,0.000365649578983357,585825.524726356,0,,,,
16,0.1195,0.000452096478929242,473807.840709642,0,,,,
17,0.1475,0.000558027034661616,383864.65738849,0,,,,
18,0.1825,0.000690440229327085,310246.777889328,0,,,,
19,0.226,0.000855010914125595,250531.137012399,0,,,,
20,0.28,0.00105930555732375,202214.417731437,0,,,,
21,0.3465,0.00131089062718814,163405.590086009,0,,,,
22,0.4285,0.00162111582611866,132135.442158232,0,,,,
23,0.53,0.00200511409064852,106830.258424155,0,,,,
24,0.6555,0.00247990997437756,86376.8679859684,0,,,,
25,0.811,0.00306820288210557,69815.0887358844,0,,,,
26,1.0035,0.00379647545276564,56422.5580117611,0,,,,
27,1.24,0.00469121032529088,45661.320132905,0,,,,
28,1.535,0.00580726439461411,36886.0175666464,0,,,,
29,1.9,0.00718814485326828,29800.0194551591,0,,,,
30,2.35,0.00889060021325287,24093.6327509797,0,,,,
31,2.91,0.0110092113279004,19457.0573762207,0,,,,
32,3.6,0.0136196428798767,15727.7880457784,0,,,,
33,4.45,0.016835391893181,12723.6038123151,0,,,,
34,5.505,0.0208267039038115,10285.2019917897,0,,,,
35,6.81,0.0257638244477668,8314.24918719563,0,,,,
36,8.425,0.0318737475730449,6720.47916496169,0,,,,
37,10.41,0.0393834673276436,5439.00451150838,0,,,,
38,12.9,0.0488037203195583,4389.15015231025,0,,,,
39,15.95,0.0603425844261205,3549.84557773055,0,,,,
40,19.7,0.0745297124259922,2874.1135515128,0,,,,
41,24.4,0.0923109128524979,2320.4933182296,0,,,,
42,30.2,0.114253670825633,1874.83566108617,0,,,,
43,37.35,0.141303794878721,1515.93137790635,0,,,,
44,46.2,0.174785416958418,1225.54192564507,0,,,,
45,57.15,0.216211830718043,990.726806033285,0.281867342061674,,,,
46,70.7,0.267474653224246,800.849179134403,2.32799210199054,,,,
47,87.5,0.331032986663671,647.086136740597,9.34023185569175,,,,
48,108.4,0.410102580049622,522.325064250943,25.762686930578,,,,
49,134,0.506953373862079,422.537589289569,56.9640355153706,,,,
50,165.5,0.626125249061,342.115026977657,108.558479827426,,,,
51,205,0.775562997326314,276.195302267328,185.66134036039,,,,
52,253.5,0.95904985279132,223.353203016971,289.381346003734,,,,
53,313.5,1.18604390078927,180.606178516116,414.817042567347,,,,
54,388,1.46789484372005,145.927930321655,548.458688332773,,,,
55,480,1.81595238398356,117.958410343338,663.783091995941,,,,
56,594,2.24724107517966,95.3199275501722,726.130260239604,,,,
57,735,2.78067708797483,77.0340638976902,697.455225445239,,,,
58,911.5,3.44841791250212,62.1174294731786,558.442300183095,,,,
59,1125,4.25613839996148,50.3289217464909,331.965538613986,,,,
60,1390,5.25869544528574,40.7338395430232,105.488531353039,,,,
61,1720,6.50716270927444,32.9186261423269,0,,,,
62,2130,8.05828870392707,26.5821769787804,0,,,,
63,2635,9.96882194124311,21.4876800625436,0,,,,
64,3255,12.3144271038886,17.3947886220591,0,,,,
65,4030,15.2464335571954,14.0496369639708,0,,,,
66,4990,18.8783383251625,11.3467007945496,0,,,,
67,6175,23.3614707731219,9.16923675543357,0,,,,
68,7635,28.8849926077386,7.41585290960082,0,,,,
69,9420,35.6380655356775,6.01061963532933,0,,,,
70,11650,44.0746776529344,4.86008900985427,0,,,,
71,14450,54.6677332261719,3.91834165846382,0,,,,
72,17900,67.7198909860538,3.16313055669286,0,,,,
73,22150,83.7986360525749,2.5562093437834,0,,,,
74,27400,103.660615252395,2.06642470674461,0,,,,
75,33850,128.062475412174,1.67267465184054,0,,,,
76,41850,158.328348478567,1.35292800393793,0,,,,
77,51800,195.971528104893,1.09305090665641,0,,,,
78,64100,242.505307944472,0.883307908967274,0,,,,
79,79300,300.010466770618,0.713997944070647,0,,,,
80,98350,372.081077009966,0.575699409911563,0,,,,
81,121500,459.66294719584,0.466008534689731,2.74861393520059,,,,
82,150000,567.485119994864,0.377466913098682,3.39244466166097,,,,
83,185500,701.789931726982,0.305229309783301,0,,,,
84,229500,868.252233592142,0.246710400718093,0,,,,
85,284000,1074.43849385694,0.199366327340853,0,,,,
86,351500,1329.80679785463,0.161081186244103,0,,,,
87,435000,1645.70684798511,0.130161004516787,0,,,,
88,538000,2035.37996371491,0.105241704395543,0,,,,
89,666000,2519.6339327772,0.0850150705177211,0,,,,
90,824000,3117.38492583845,0.0687136370932066,0,,,,
91,1020500,3860.79043303173,0.0554826427876553,0,,,,
92,1260000,4766.87500795686,0.0449365372736526,0,,,,
93,1560000,5901.84524794659,0.0362948954902579,26.8126827842675,,,,
94,1930000,7301.64187726725,0.0293368067175141,33.184798810062,,,,
95,2385000,9023.01340791834,0.0237400574275901,0,,,,
96,2955000,11179.4568638988,0.0191607570100854,0,,,,
97,3655000,13827.7207572082,0.0154911181846244,0,,,,
98,4520000,17100.2182825119,0.01252655685062,0,,,,
